Project ID,Project Name,Sector,Status,Project Manager,Person Responsible,Start Date,End Date,Budget (KES),County,Longitude,Latitude
P0029,Digital Hub,ICT,Ongoing,Abdi Hussein,Grace Ekal,05/09/2024,22/04/2026,416713213,Kitui,38.62870309,-2.498548637
P0030,Referral Hospital,Health,Design,Rebecca Ekidor,Mercy Ekidor,06/11/2025,02/07/2027,1271012887,Kitui,38.41337253,-2.083637593
P0031,Bridge Construction,Transport,Ongoing,Rose Mohamed,Grace Achieng,01/02/2024,21/04/2027,2490935750,Kitui,38.82356257,-1.441382704
P0032,Irrigation Scheme,Agriculture,Ongoing,Grace Mutua,Daniel Mutua,12/05/2024,26/03/2027,1046335194,Kitui,38.63275937,-2.936527203
P0033,Gishu Library Project,Education,Ongoing,Hassan Noor,Hassan Abdalla,09/06/2025,02/08/2027,46339584,Kitui,38.55226246,-2.823123976
P0034,Mini Hydro Project,Energy,Completed,Grace Ekidor,Chebet Chebet,28/04/2023,07/12/2023,1011148403,Kitui,37.95175745,-0.995058527
P0035,Wind Farm,Energy,Ongoing,Abdi Kibet,Chebet Toroitich,06/05/2025,23/12/2025,1148384310,Kitui,38.00655772,-0.405187297
P0036,Innovation Center,ICT,Design,James Toroitich,Halima Cherono,19/02/2027,17/10/2027,665622849,Kitui,37.94263701,-1.343027428
P0037,Mini Hydro Project,Energy,Completed,Francis Chebet,Sarah Otieno,21/06/2021,02/01/2023,2502760183,Kitui,38.60690039,-2.089246449
P0038,School Construction,Education,Completed,Hassan Toroitich,Mercy Noor,17/11/2023,02/06/2024,452197081,Kitui,38.30210568,-1.125345617
P0039,Digital Hub,ICT,Design,Fatma Noor,Mercy Chebet,22/11/2025,25/09/2026,1207781598,Kitui,38.4644239,-1.478989305
P0040,Urban Renewal Project,Housing,Ongoing,Mercy Achieng,Chebet Ekidor,11/05/2025,24/09/2027,2376197264,Kitui,38.81724579,-1.512961061
P0041,Resort Development,Tourism,Design,Daniel Hussein,Janet Noor,15/08/2026,24/12/2028,2781058239,Kitui,38.43515018,-2.491892076
P0042,Greenhouse Project,Agriculture,Ongoing,Daniel Ekidor,James Noor,11/04/2025,29/01/2028,2390828340,Kitui,38.24700104,-0.567413838
P0043,Bypass Road,Transport,Ongoing,Sarah Kibet,Francis Noor,19/07/2024,21/07/2027,655327545,Kitui,38.9028418,-1.603612306
P0044,Clinic Construction,Health,Completed,Peter Toroitich,Janet Toroitich,17/02/2023,07/09/2024,1848457986,Kitui,38.47667277,-0.84881778
P0045,Wind Farm,Energy,Design,Francis Otieno,Janet Onyango,01/07/2026,01/12/2027,461744986,Kitui,38.66593249,-2.996428547
P0046,Agro-Processing Plant,Agriculture,Design,Mercy Hassan,Ahmed Hassan,06/07/2026,16/07/2028,2702228754,Kitui,38.61630015,-1.185781156
P0047,School Construction,Education,Ongoing,Daniel Toroitich,Halima Kiprotich,23/02/2024,06/03/2026,1362225079,Kitui,38.2330301,-1.870922889
P0048,Irrigation Scheme,Agriculture,Design,Ali Chebet,Ahmed Ekal,22/12/2026,12/03/2028,566953572,Kitui,38.47594402,-0.821005848
P0049,Borehole Drilling,Water,Ongoing,Abdi Toroitich,Joseph Mohamed,13/01/2024,08/04/2026,2979240990,Kitui,38.27683391,-1.268251907
P0050,Eco-Tourism Project,Tourism,Design,Abdi Onyango,Halima Mwangi,01/09/2026,17/05/2027,1698002544,Kitui,38.53385479,-2.749696696
P0051,Smart City Project,ICT,Completed,Ali Ekidor,Grace Onyango,07/11/2023,27/05/2025,1744375985,Kitui,38.0933333,-1.698098278
P0052,Irrigation Scheme,Agriculture,Ongoing,Ahmed Adan,Ahmed Ekidor,23/05/2025,23/02/2027,1627846518,Kitui,38.49015405,-2.0136175
P0053,Resettlement Housing,Housing,Ongoing,Peter Abdalla,James Kiprotich,07/03/2024,04/03/2026,2370178008,Kitui,37.72942295,-1.324274989
P0054,Water Pipeline,Water,Completed,Chebet Mwangi,Hassan Achieng,08/12/2022,13/12/2024,2961713834,Kitui,38.62182043,-1.506336477
P0055,Wildlife Conservancy,Tourism,Design,Peter Mutua,Sarah Hussein,06/02/2026,26/09/2028,2260759164,Kitui,38.44587567,-0.831461663
P0056,School Construction,Education,Completed,Samuel Kibet,Ali Cherono,02/06/2021,01/10/2023,1455402466,Kitui,38.04274743,-1.080988095
P0057,Bridge Construction,Transport,Design,Samuel Chebet,Chebet Kibet,28/09/2026,25/04/2029,967980798,Kitui,38.56779892,-0.452493938
P0058,Cultural Center,Tourism,Completed,Halima Ekidor,Ali Mohamed,08/10/2021,20/12/2022,1549989166,Kitui,38.27051489,-1.780555361
P0059,Medical Supply Chain,Health,Completed,Joseph Nduku,Rebecca Nduku,03/05/2022,09/03/2023,1844475883,Kitui,38.29226483,-0.087213864
P0060,Smart City Project,ICT,Design,Abdi Ekidor,Sarah Chebet,16/09/2026,29/10/2027,1533320988,Kitui,38.59686872,-2.11525896
P0061,Irrigation Scheme,Agriculture,Ongoing,Chebet Cherono,Janet Hassan,15/03/2025,01/02/2027,2973616785,Kitui,38.49102426,-1.764289059
P0062,Innovation Center,ICT,Design,Joseph Abdalla,Peter Onyango,29/03/2027,03/07/2029,1998590062,Kitui,38.63171563,-0.985491496
P0063,Urban Renewal Project,Housing,Design,Mercy Kibet,Rose Mwangi,13/10/2025,19/06/2027,1919344158,Kitui,38.08839578,-2.136397674
P0064,Highway Upgrade,Transport,Design,David Noor,James Nduku,16/10/2026,27/08/2028,65849558,Kitui,38.61045178,-2.937895974
P0065,Farm Input Program,Agriculture,Completed,Ali Achieng,Sarah Abdalla,06/02/2022,30/07/2023,1206251508,Kitui,37.88610817,-1.051450252
P0066,Affordable Housing,Housing,Design,Abdi Abdalla,Halima Onyango,14/04/2026,10/12/2026,1098384157,Kitui,38.46117015,-0.483693364
P0067,School Construction,Education,Ongoing,Peter Ekal,Ali Chepngeno,09/06/2025,06/12/2026,2081611934,Kitui,37.89083912,-0.544196477
P0068,Technical Institute,Education,Ongoing,Samuel Achieng,Rebecca Mutua,29/03/2024,22/09/2026,1796194943,Kitui,38.38289514,-0.472060433
P0069,Sanitation Project,Water,Ongoing,Daniel Ekal,Francis Toroitich,23/05/2024,21/03/2026,2824472162,Kitui,38.77374745,-1.395195317
P0070,Solar Power Plant,Energy,Design,Peter Cherono,Grace Achieng,29/05/2026,10/10/2028,375372439,Kitui,38.50147578,-1.492385031
P0071,Medical Supply Chain,Health,Ongoing,Joseph Abdalla,Samuel Otieno,30/04/2025,30/11/2026,500869802,Kitui,38.64416186,-1.915361651
P0072,Highway Upgrade,Transport,Design,Joseph Toroitich,Janet Mutua,02/11/2025,07/02/2028,527214016,Kitui,37.90377101,-1.310396783
P0073,Biogas Initiative,Energy,Ongoing,Ali Adan,Francis Chepngeno,29/01/2024,02/10/2027,1846596819,Kitui,38.82528591,-1.259477962
P0074,Irrigation Scheme,Agriculture,Ongoing,Mercy Kibet,Daniel Mohamed,10/02/2025,27/12/2027,2637830593,Kitui,38.07516927,-1.029958731
P0075,Cultural Center,Tourism,Completed,Rebecca Adan,Mercy Mutua,21/01/2022,10/06/2024,1315902233,Kitui,38.36002493,-1.002167047
P0076,Greenhouse Project,Agriculture,Completed,James Cherono,Joseph Abdalla,08/12/2022,08/06/2023,1539589434,Kitui,38.57503842,-2.740177444
P0077,School Construction,Education,Design,Grace Nduku,Joseph Nduku,15/02/2026,06/09/2027,2788312472,Kitui,38.24466962,-0.387246463
P0078,Highway Upgrade,Transport,Completed,Halima Noor,Ahmed Otieno,27/09/2020,22/02/2023,2749599402,Kitui,38.62101329,-2.416738428
P0079,Smart City Project,ICT,Design,Mercy Ekal,Samuel Hussein,26/01/2027,31/07/2029,60267267,Kitui,38.95841975,-1.582512468
P0080,Library Project,Education,Ongoing,Daniel Mutua,Sarah Hassan,11/03/2024,01/09/2027,1592999726,Kitui,37.9254445,-1.529386656
P0081,Estate Development,Housing,Design,Peter Toroitich,Halima Otieno,30/03/2026,21/11/2028,1786596675,Kitui,38.55152389,-0.710804361
P0082,Gishu Mini Hydro Project,Energy,Design,Rose Achieng,Janet Noor,30/07/2026,10/01/2029,1088560584,Kitui,38.66847924,-2.757864861
P0083,Resort Development,Tourism,Completed,Rose Hassan,Grace Nduku,31/12/2021,25/06/2023,1945303054,Kitui,38.17193744,-2.037031277
P0084,Gishu Referral Hospital,Health,Ongoing,Samuel Chepngeno,Rebecca Ekidor,05/10/2024,20/11/2026,2811826837,Kitui,38.05542699,-1.204885451
P0085,Gishu Cultural Center,Tourism,Completed,Sarah Mutua,Samuel Mohamed,09/10/2021,26/05/2023,1509450849,Kitui,38.13209599,-1.790563279
P0086,Medical Supply Chain,Health,Design,Ali Noor,Francis Hussein,22/05/2026,11/09/2028,86318994,Kitui,37.88425803,-1.289808012
P0087,School Construction,Education,Design,Samuel Mutua,James Hussein,29/03/2026,01/11/2027,2221030004,Kitui,37.98444196,-0.501322696
P0088,E-Government System,ICT,Ongoing,Francis Kibet,Sarah Abdalla,28/01/2025,10/09/2026,1752965792,Kitui,38.0487645,-1.781987654
P0089,Gishu Agro-Processing Plant,Agriculture,Ongoing,Hassan Toroitich,Ali Hussein,29/05/2025,19/06/2027,569858720,Kitui,38.65723758,-0.499449558
P0090,Gishu Urban Renewal Project,Housing,Completed,Daniel Hassan,Janet Onyango,04/07/2022,08/04/2023,1830855148,Kitui,38.38702439,-2.658224389
P0091,Cultural Center,Tourism,Design,Joseph Hassan,Sarah Abdalla,08/11/2026,25/12/2027,2766394120,Kitui,38.50388762,-1.014997089
P0092,Mini Hydro Project,Energy,Ongoing,Halima Chepngeno,James Mohamed,25/11/2024,03/12/2025,2658549279,Kitui,38.85547232,-1.541019329
P0093,Eco-Tourism Project,Tourism,Completed,Francis Adan,James Chebet,10/06/2022,17/12/2024,1103915477,Kitui,38.49187407,-1.113598294
P0094,Gishu Smart City Project,ICT,Ongoing,Joseph Hussein,Grace Achieng,09/11/2024,12/11/2025,669122939,Kitui,38.76988402,-2.806544907
P0095,Smart City Project,ICT,Ongoing,Hassan Mutua,Ahmed Chepngeno,16/01/2025,17/12/2026,2672205010,Kitui,38.52169646,-0.628221127
P0096,Resort Development,Tourism,Design,Chebet Otieno,Ahmed Adan,08/11/2025,20/02/2028,2879117418,Kitui,37.99065297,-1.59860405
P0097,Wildlife Conservancy,Tourism,Design,Grace Kibet,Joseph Cherono,21/12/2026,18/07/2027,2320692918,Kitui,38.22981773,-1.695361793
P0098,Agro-Processing Plant,Agriculture,Ongoing,Rebecca Hussein,Janet Kibet,18/01/2024,21/04/2027,1951216359,Kitui,38.51613882,-0.748020393
P0099,Bridge Construction,Transport,Completed,Janet Achieng,Abdi Otieno,26/03/2022,01/01/2024,1344137990,Kitui,38.89406053,-1.489068844
P0100,Water Pipeline,Water,Design,Abdi Onyango,Sarah Achieng,27/04/2026,26/02/2027,1569050510,Kitui,38.85223729,-1.461940911
P0101,Mini Hydro Project,Energy,Design,Samuel Chebet,David Ekal,31/03/2026,23/12/2026,2412782397,Kitui,38.31906651,-1.571716234
P0102,Affordable Housing,Housing,Completed,Daniel Onyango,Fatma Noor,16/11/2020,23/05/2023,549710264,Kitui,38.33564793,-2.404627463
P0103,Innovation Center,ICT,Design,Francis Noor,James Ekidor,11/07/2026,07/11/2027,623308412,Kitui,38.15796588,-1.898219762
P0104,Medical Supply Chain,Health,Completed,Chebet Kiprotich,Daniel Ekidor,06/03/2021,05/05/2023,1087599065,Kitui,38.64111274,-2.120090768
P0105,Wildlife Conservancy,Tourism,Ongoing,Rose Mwangi,Daniel Onyango,07/05/2024,15/09/2027,1944161413,Kitui,38.74615844,-2.633504463
P0106,Estate Development,Housing,Completed,Ahmed Ekal,Rebecca Hussein,15/03/2024,22/03/2025,117962526,Kitui,38.88363539,-1.748512194
P0107,Water Pipeline,Water,Design,Rebecca Mohamed,Rose Kiprotich,03/03/2026,28/11/2026,2362522637,Kitui,38.71107016,-1.889344761
P0108,Technical Institute,Education,Ongoing,Francis Otieno,Sarah Mohamed,26/07/2024,22/04/2028,1633421919,Kitui,38.39625049,-0.995270509
P0109,Agro-Processing Plant,Agriculture,Ongoing,Abdi Hussein,Francis Cherono,07/02/2024,27/09/2026,38497263,Kitui,38.42384252,-2.640890413
P0110,Wind Farm,Energy,Ongoing,Joseph Mwangi,Mercy Hassan,14/11/2024,05/08/2027,1711187753,Kitui,38.89945174,-2.805255999
P0111,Wildlife Conservancy,Tourism,Ongoing,Peter Toroitich,James Ekal,01/04/2024,26/03/2027,841262521,Kitui,38.84014608,-2.849738205
P0112,Water Pipeline,Water,Design,David Chebet,Fatma Abdalla,16/11/2025,30/01/2027,147278214,Kitui,38.32898003,-2.425108278
P0113,Clinic Construction,Health,Completed,Abdi Chepngeno,Mercy Nduku,02/08/2022,29/06/2024,2737817338,Kitui,38.29031731,-1.249268573
P0114,Smart City Project,ICT,Completed,Ali Toroitich,Sarah Achieng,23/12/2022,05/10/2024,2338070135,Kitui,38.33913452,-1.119145684
P0115,Wildlife Conservancy,Tourism,Completed,Francis Kiprotich,Samuel Chepngeno,14/05/2024,24/03/2025,2941164414,Kitui,38.84544145,-0.960939593
P0116,Borehole Drilling,Water,Completed,Abdi Noor,Abdi Chepngeno,24/07/2021,08/07/2023,657782328,Kitui,38.02227099,-1.525610772
P0117,Gishu Medical Supply Chain,Health,Completed,Ahmed Chebet,David Mutua,02/02/2021,10/01/2023,805314402,Kitui,38.19362959,-0.202202177
P0118,Borehole Drilling,Water,Ongoing,Rose Hassan,James Kibet,13/02/2024,22/12/2025,2197629764,Kitui,38.02351657,-0.487325197
P0119,Wind Farm,Energy,Completed,Halima Nduku,Joseph Mohamed,01/07/2022,16/03/2023,1426328971,Kitui,38.37167864,-1.074479435
P0120,Wind Farm,Energy,Ongoing,Ali Chebet,Halima Kiprotich,13/01/2024,01/06/2026,1278533472,Kitui,38.39132067,-0.699577661
P0121,Bus Rapid Transit,Transport,Design,Rose Ekidor,Francis Adan,07/01/2027,27/01/2028,445229707,Kitui,38.59560213,-0.557515371
P0122,Smart City Project,ICT,Ongoing,Hassan Mohamed,Rose Cherono,21/01/2025,28/12/2025,239500250,Kitui,38.40381056,-0.905682958
P0123,Affordable Housing,Housing,Ongoing,Francis Hassan,Abdi Kiprotich,22/07/2025,23/10/2026,1785033246,Kitui,38.89957761,-1.34408898
P0124,Wind Farm,Energy,Design,Joseph Mwangi,Joseph Onyango,11/12/2026,22/05/2029,2164175223,Kitui,38.20927784,-1.319242764
P0125,Mini Hydro Project,Energy,Ongoing,Hassan Adan,Sarah Ekal,13/04/2024,21/04/2027,2320551331,Kitui,37.85949819,-0.959120223
P0126,Wind Farm,Energy,Design,Francis Achieng,Chebet Kiprotich,10/12/2025,20/06/2028,2964265401,Kitui,38.88757585,-1.505612703
P0127,Estate Development,Housing,Design,Francis Hussein,Janet Cherono,05/02/2026,30/05/2027,606129222,Kitui,38.51088539,-0.622615096
P0128,School Construction,Education,Design,Peter Adan,David Onyango,26/06/2026,03/03/2028,873713670,Kitui,38.29546156,-0.673529364
P0129,Farm Input Program,Agriculture,Ongoing,Rebecca Abdalla,Janet Mwangi,18/05/2024,10/12/2025,2878445746,Kitui,38.51355999,-0.713169625
P0130,Gishu Bypass Road,Transport,Design,Sarah Achieng,Abdi Noor,09/12/2026,30/08/2029,376312527,Kitui,38.43863492,-2.106240183
P0131,Biogas Initiative,Energy,Completed,Janet Hussein,Fatma Noor,30/08/2022,25/01/2025,190947495,Kitui,38.4286497,-1.405038242
P0132,Bridge Construction,Transport,Completed,Francis Abdalla,Rebecca Ekal,21/05/2022,26/04/2023,1511189837,Kitui,38.63505885,-1.696278205
P0133,Health Center Upgrade,Health,Completed,Sarah Ekal,Rebecca Kibet,05/05/2022,14/08/2024,1427714898,Kitui,37.73234044,-1.261274172
P0134,Innovation Center,ICT,Completed,Samuel Hassan,Janet Noor,03/08/2022,09/07/2024,2199215367,Kitui,38.09898021,-1.618413182
P0135,E-Government System,ICT,Ongoing,Peter Noor,Ahmed Hussein,28/04/2024,12/09/2026,594867149,Kitui,38.00217105,-0.891578738
P0136,E-Government System,ICT,Completed,David Hassan,David Mutua,08/05/2023,17/04/2024,1284078884,Kitui,38.72388955,-0.707515622
P0137,Irrigation Scheme,Agriculture,Ongoing,Mercy Cherono,Daniel Mohamed,12/04/2025,25/12/2027,2807262140,Kitui,38.78943936,-2.31974898
P0138,Water Pipeline,Water,Design,David Kibet,Sarah Mohamed,06/07/2026,24/02/2028,282529114,Kitui,37.96224476,-1.489256081
P0139,Agro-Processing Plant,Agriculture,Completed,Ahmed Chebet,Rebecca Onyango,20/09/2021,11/04/2024,1025684715,Kitui,38.60268293,-1.142855928
P0140,Gishu Wildlife Conservancy,Tourism,Completed,David Chebet,Abdi Kibet,02/08/2023,05/04/2025,2086391286,Kitui,37.8929115,-1.511764021
P0141,Wind Farm,Energy,Completed,Ahmed Ekidor,Daniel Nduku,15/10/2022,16/04/2023,1673331867,Kitui,38.70445666,-0.678486916
P0142,Solar Power Plant,Energy,Design,Rose Hussein,Janet Kiprotich,05/10/2025,14/11/2027,1841673052,Kitui,38.83973952,-1.462058926
P0143,Smart City Project,ICT,Completed,Daniel Achieng,Ali Cherono,04/04/2021,28/08/2023,1154137742,Kitui,38.54036803,-1.835812455
P0144,Digital Hub,ICT,Completed,Abdi Chebet,Hassan Mwangi,23/10/2023,26/05/2025,2281271190,Kitui,38.13504923,-1.394205803
P0145,Mini Hydro Project,Energy,Completed,Sarah Mwangi,Mercy Mohamed,21/11/2021,01/07/2024,1953379431,Kitui,38.78746374,-0.905037233
P0146,Health Center Upgrade,Health,Ongoing,Hassan Ekidor,Peter Chebet,16/05/2025,20/02/2027,340662781,Kitui,37.9903183,-2.139935069
P0147,Sanitation Project,Water,Completed,Grace Ekidor,Peter Kiprotich,10/06/2023,04/03/2024,415342765,Kitui,38.59790542,-0.557232558
P0148,Referral Hospital,Health,Ongoing,Grace Adan,Peter Otieno,13/05/2025,25/07/2026,1282654076,Kitui,38.60336159,-2.898277812
P0149,Health Center Upgrade,Health,Design,Sarah Noor,Samuel Kibet,10/12/2025,16/07/2027,1640764111,Kitui,38.74846295,-2.247208557
P0150,Innovation Center,ICT,Design,Halima Ekidor,Chebet Mwangi,06/04/2026,14/02/2027,2747073661,Kitui,38.43763814,-1.550447001
P0151,Gishu Biogas Initiative,Energy,Design,Abdi Adan,Samuel Ekal,07/11/2026,13/06/2029,1961980421,Kitui,38.78720959,-0.835039579
P0152,Mini Hydro Project,Energy,Completed,James Kiprotich,Peter Ekidor,14/08/2022,22/04/2023,66042126,Kitui,38.17165467,-1.915493515
P0153,Wind Farm,Energy,Completed,Ahmed Hussein,Ali Kibet,04/01/2023,08/05/2024,1952920985,Kitui,38.43195679,-0.508387947
P0154,Clinic Construction,Health,Ongoing,Halima Adan,Sarah Kibet,22/06/2025,12/06/2027,357800381,Kitui,38.16958739,-1.86026414
P0155,Library Project,Education,Design,Halima Kibet,Samuel Ekal,14/03/2026,19/01/2028,181849877,Kitui,38.07778205,-1.112378854
P0156,Estate Development,Housing,Ongoing,Hassan Hussein,Chebet Chepngeno,03/12/2024,23/12/2027,2932944081,Kitui,38.35143494,-0.947859385
P0157,School Construction,Education,Ongoing,Ahmed Achieng,James Mohamed,07/02/2024,08/02/2027,284957389,Kitui,38.85056299,-0.966028204
P0158,Highway Upgrade,Transport,Design,Chebet Achieng,Fatma Toroitich,27/12/2025,18/08/2027,1344266594,Kitui,38.01640416,-1.652451966
P0159,Library Project,Education,Ongoing,Grace Hassan,Ali Kibet,30/04/2025,16/07/2026,1687985379,Kitui,38.28998292,-0.95021427
P0160,Library Project,Education,Completed,Hassan Toroitich,James Chepngeno,25/07/2024,02/03/2025,2826570636,Kitui,38.5755918,-2.99015531
P0161,Cultural Center,Tourism,Design,Mercy Kibet,Chebet Chebet,03/11/2025,09/11/2026,634152626,Kitui,38.2879556,-2.373722333
P0162,Gishu Health Center Upgrade,Health,Completed,Fatma Toroitich,Mercy Hussein,27/07/2022,14/10/2023,1047499882,Kitui,38.55153181,-2.746860116
P0163,Digital Learning Center,Education,Design,Ahmed Achieng,Joseph Chebet,06/12/2026,06/08/2028,97522644,Kitui,38.38832263,-1.926926876
P0164,Solar Power Plant,Energy,Ongoing,Janet Noor,Chebet Kiprotich,19/01/2024,05/09/2026,352248698,Kitui,38.45469136,-2.834319862
P0165,Digital Hub,ICT,Ongoing,Abdi Abdalla,Joseph Nduku,02/06/2025,07/07/2026,682582496,Kitui,38.08914106,-1.440845663
P0166,Wildlife Conservancy,Tourism,Ongoing,Fatma Ekidor,Sarah Chepngeno,01/03/2025,28/08/2026,761919668,Kitui,38.37994257,-1.925393752
P0167,Wildlife Conservancy,Tourism,Ongoing,Francis Kiprotich,Daniel Hussein,25/09/2024,18/09/2026,1578797717,Kitui,38.52012829,-2.753367799
P0168,Resettlement Housing,Housing,Ongoing,Peter Mutua,Samuel Kiprotich,13/05/2024,06/06/2027,1263318815,Kitui,38.29124611,-1.611729838
P0169,Affordable Housing,Housing,Design,Fatma Hassan,Sarah Onyango,06/11/2025,10/01/2028,25206772,Kitui,38.9295811,-1.333579132
P0170,Irrigation Scheme,Agriculture,Ongoing,Francis Mutua,Ahmed Chebet,01/06/2025,13/02/2026,1895228877,Kitui,38.43250471,-1.981883424
P0171,Bridge Construction,Transport,Design,Sarah Chebet,Peter Ekidor,30/12/2025,24/05/2028,2922108044,Kitui,38.09494086,-1.390474239
P0172,Irrigation Scheme,Agriculture,Completed,Chebet Kibet,Ahmed Nduku,06/11/2023,13/09/2024,1441145965,Kitui,38.37128109,-1.769812085
P0173,E-Government System,ICT,Design,Samuel Chepngeno,Janet Achieng,27/11/2026,02/09/2028,888971036,Kitui,38.03155705,-1.520034799
P0174,Health Center Upgrade,Health,Completed,Fatma Otieno,Abdi Mutua,25/04/2021,22/11/2023,2370095193,Kitui,38.62159191,-2.805002836
P0175,Smart City Project,ICT,Completed,Mercy Otieno,Halima Adan,06/11/2020,31/07/2023,2599560465,Kitui,38.08107623,-0.525594362
P0176,Library Project,Education,Completed,Mercy Mwangi,Halima Mwangi,12/09/2022,15/09/2023,33997183,Kitui,38.04461306,-1.118360799
P0177,Cultural Center,Tourism,Completed,Daniel Mwangi,Janet Abdalla,14/06/2024,14/12/2024,1535052368,Kitui,38.47030088,-2.208344053
P0178,Irrigation Scheme,Agriculture,Design,Hassan Adan,Rose Kibet,01/02/2027,02/09/2029,1646175281,Kitui,38.17358357,-1.31270489
P0179,Wind Farm,Energy,Design,James Onyango,Samuel Nduku,29/07/2026,25/02/2029,2599839940,Kitui,38.30494341,-0.703043986
P0180,Wildlife Conservancy,Tourism,Design,Janet Ekal,Mercy Chebet,03/05/2026,20/10/2028,271696134,Kitui,38.83856111,-0.840899164
P0181,Mini Hydro Project,Energy,Design,Abdi Ekal,Ali Mutua,04/05/2026,25/05/2028,1107409917,Kitui,38.65628677,-1.181193231
P0182,Estate Development,Housing,Design,David Mohamed,Rose Kiprotich,28/09/2026,25/04/2029,827567318,Kitui,38.81957188,-0.763995433
P0183,Water Pipeline,Water,Design,Ali Otieno,Peter Mwangi,20/02/2027,21/01/2029,265124619,Kitui,38.02141081,-0.940448517
P0184,Referral Hospital,Health,Completed,David Cherono,Joseph Adan,20/01/2022,07/08/2023,1482712956,Kitui,38.75722177,-1.170673299
P0185,Innovation Center,ICT,Completed,Sarah Noor,David Toroitich,20/12/2023,23/12/2024,2266193468,Kitui,38.10373955,-0.581621381
